,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.32,0.09,0.25,0.23,0.4392634,0.95
1,0.27,0.04,0.15,0.16,0.4740862,0.94
2,0.35,0.06,0.16,0.11,0.56732,0.96
3,0.33,0.14,0.26,0.22,0.634364,0.92
4,0.18,0.09,0.18,0.19,0.64173377,0.91
5,0.12,0.0,0.09,0.11,0.22845303,0.9
6,0.08,0.03,0.08,0.06,0.3093903,0.85
7,0.16,0.05,0.12,0.09,0.5442256,0.93
8,0.16,0.11,0.11,0.1,0.64974976,0.87
9,0.44,0.38,0.42,0.35,0.6642351,0.94
10,0.44,0.3,0.37,0.4,0.66628426,0.96
11,0.33,0.15,0.24,0.26,0.70908517,0.97
12,0.12,0.02,0.09,0.03,0.49625048,0.84
13,0.32,0.03,0.17,0.11,0.47361326,0.95
14,0.67,0.54,0.58,0.34,0.60512495,0.97
15,0.13,0.0,0.09,0.1,0.3699221,0.89
16,0.26,0.17,0.22,0.18,0.26265553,0.87
17,0.73,0.67,0.73,0.62,0.7065998,0.98
18,0.54,0.35,0.38,0.3,0.6320162,0.98
19,0.37,0.22,0.32,0.21,0.77178794,0.95
20,0.58,0.42,0.43,0.31,0.6263734,0.96
21,0.12,0.03,0.08,0.08,0.6215477,0.87
22,0.63,0.42,0.52,0.39,0.7034693,0.96
23,0.19,0.05,0.12,0.12,0.67555696,0.87
24,0.13,0.1,0.13,0.12,0.75238943,0.91
25,0.21,0.03,0.16,0.15,0.5605881,0.9
26,0.18,0.02,0.12,0.11,0.37705675,0.87
27,0.25,0.05,0.13,0.11,0.48757958,0.94
28,0.32,0.09,0.2,0.15,0.6918101,0.95
29,0.42,0.11,0.22,0.17,0.47567928,0.96
30,0.41,0.14,0.24,0.27,0.68570423,0.95
31,0.31,0.13,0.21,0.23,0.6008411,0.94
32,0.12,0.01,0.08,0.08,0.65744287,0.89
33,0.52,0.17,0.22,0.19,0.6496765,0.99
34,0.22,0.04,0.14,0.13,0.59455574,0.95
35,0.39,0.18,0.2,0.19,0.6070703,0.94
36,0.51,0.17,0.26,0.28,0.6981385,0.97
37,0.27,0.05,0.16,0.1,0.5781264,0.93
38,0.43,0.07,0.23,0.29,0.5857062,0.97
39,0.28,0.03,0.17,0.15,0.5743298,0.97
40,0.35,0.13,0.23,0.23,0.5517543,0.95
41,0.29,0.12,0.21,0.18,0.62828195,0.94
